alacritty-ligatures-git 0.8.0.1772.g3ed0430-1
alsa-firmware 1.2.4-2
android-tools 30.0.5-1
android-udev 20201003-1
appmenu-gtk-module 0.7.6-1
arj 3.10.22-13
ark 20.12.2-1
autoconf 2.71-1
automake 1.16.3-1
autorandr 1.11-2
b43-fwcutter 019-3
bash-completion 2.11-1
beautyline 20210222-1
binutils 2.36.1-2
bison 3.7.3-1
bleachbit 4.2.0-1
bluedevil 1:5.21.2-1
bluetooth-support 1-3
brave-bin 1:1.20.110-1
bridge-utils 1.7-1
btrfs-progs 5.10.1-2
bzip2 1.0.8-4
chaotic-keyring 20201229-1
chaotic-mirrorlist 20210301-1
coreutils 8.32-1
cpio 2.13-2
crda 4.14-3
cronie 1.5.5-2
cryptsetup 2.3.4-2
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dolphin 20.12.2-1
dolphin-plugins 20.12.2-1
dosfstools 4.2-1
downgrade 9.0.0-1
e2fsprogs 1.46.1-1
ecryptfs-utils 111-4
efibootmgr 17-2
exfatprogs 1.1.0-1
f2fs-tools 1.14.0-1
fakeroot 1.25.3-2
fatresize 1.1.0-1
ffmpegthumbs 20.12.2-1
file 5.39-1
filesystem 2021.01.19-1
findutils 4.8.0-1
flameshot-git r1269.f54538e-1
flex 2.6.4-3
freetype2 2.10.4-1
fscrypt 0.2.9-1
fwupd 1.5.7-1
garuda-assistant-git r28.c3acfcc-1
garuda-boot-options-git r20.98d4ca8-1
garuda-browser-settings r31.098e7c0-1
garuda-common-settings r99.396bf1d-1
garuda-dr460nized r159.a15e7ba-1
garuda-fish-config r48.7f95799-1
garuda-gamer-git r16.83cbdb2-1
garuda-hooks 0.0.1-30
garuda-icons r28.c765679-1
garuda-librewolf 20210201-1
garuda-network-assistant-git r23.918837e-1
garuda-settings-manager-git r24.4646d26-1
garuda-settings-manager-kcm-git r24.4646d26-1
garuda-settings-manager-knotifier-git r24.4646d26-1
garuda-setup-assistant r31.dd3a268-1
garuda-wallpapers r51.b6f9cba-1
garuda-welcome-git r97.7b3916a-1
gawk 5.1.0-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gettext 0.21-1
git 2.30.1-1
glibc 2.33-4
gnome-firmware 3.36.0-2
gparted 1.2.0-2
grep 3.6-1
groff 1.22.4-4
grub 2:2.04-10
grub-btrfs 4.8.1-1
grub-garuda 2.04-11
grub-theme-garuda r18.75c8339-1
gstreamer-meta 1-1
gwenview 20.12.2-1
gzip 1.10-3
htop 3.0.5-1
inetutils 1.9.4-8
input-devices-support 1-1
intel-compute-runtime 20.48.18558-1
intel-media-driver 20.4.5-1
intel-ucode 20210216-1
inxi 3.3.01.1-1
iproute2 5.11.0-1
iputils 20200821-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
jfsutils 1.1.15-7
jhead 3.04-1
kaccounts-providers 20.12.2-1
kamera 20.12.2-1
kate 20.12.2-1
kcalc 20.12.2-1
kde-gtk-config 5.21.2-1
kde-service-menu-reimage 2.5-1
kde-servicemenus-encfs 0.8-2
kde-servicemenus-pdf 2.3-1
kde-servicemenus-rootactions 2.9.1-1
kdeconnect 20.12.2-1
kdegraphics-thumbnailers 20.12.2-1
kdeplasma-addons 5.21.2-1
kget 20.12.2-1
khotkeys 5.21.2-1
kimageformats 5.79.0-1
kinfocenter 5.21.2-1
kio-extras 20.12.2-1
kio-fuse 5.0.0-1
kio-gdrive 20.12.2-1
